Symbol,Our_Beta,Yahoo_Beta,Deviation,Deviation_Pct,Status
NVDA,2.109453180854149,2.12,0.010546819145851316,0.49749146914392994,✅ EXCELLENT
AAPL,1.0860793291735111,1.09,0.003920670826488948,0.35969457123751813,✅ EXCELLENT
MSFT,1.0230673384752818,1.02,0.0030673384752817334,0.30071945836095426,✅ EXCELLENT
GOOGL,1.0404865717382186,1.01,0.03048657173821856,3.0184724493285704,✅ EXCELLENT
AMZN,1.2831101446109383,1.28,0.0031101446109382813,0.24298004772955323,✅ EXCELLENT
META,1.2142662211172857,1.2,0.014266221117285705,1.1888517597738089,✅ EXCELLENT
TSLA,2.071768372224484,2.09,0.01823162777551568,0.8723266878237167,✅ EXCELLENT
PLTR,2.626996887989188,2.6,0.02699688798918798,1.0383418457379991,✅ EXCELLENT
COIN,3.681954540193863,3.69,0.008045459806136801,0.21803414108771818,✅ EXCELLENT
HOOD,2.428080745663673,2.36,0.06808074566367317,2.884777358630219,✅ GOOD
NCLH,2.237747255882026,2.22,0.017747255882025748,0.7994259406317903,✅ EXCELLENT
CCL,2.680989823412053,2.69,0.009010176587946894,0.33495080252590687,✅ EXCELLENT
JPM,1.1484237886182438,1.13,0.018423788618243897,1.6304237715260086,✅ EXCELLENT
JNJ,0.3814688939226728,0.39,0.00853110607732721,2.187463096750567,✅ EXCELLENT
PG,0.3664023108165828,0.36,0.0064023108165828235,1.7784196712730065,✅ EXCELLENT
WMT,0.6731642123180566,0.65,0.023164212318056543,3.5637249720086985,✅ EXCELLENT
V,0.8780175311375878,0.9,0.021982468862412174,2.4424965402680194,✅ EXCELLENT
MA,0.9280904946426664,0.97,0.04190950535733362,4.320567562611713,✅ EXCELLENT
NEE,0.6853329337367586,0.65,0.03533293373675861,5.435835959501325,✅ EXCELLENT
SO,0.4495975769297897,0.41,0.03959757692978971,9.657945592631638,✅ EXCELLENT
VZ,0.3615712382503669,0.37,0.008428761749633085,2.27804371611705,✅ EXCELLENT
PFE,0.5480345823119661,0.46,0.08803458231196609,19.137952676514367,✅ GOOD
MRK,0.3377764630359195,0.37,0.03222353696408048,8.709064044346075,✅ EXCELLENT
XOM,0.4933017147210703,0.48,0.013301714721070335,2.7711905668896533,✅ EXCELLENT
CVX,0.830946523722389,0.87,0.03905347627761102,4.488905319265635,✅ EXCELLENT
GS,1.4190634661780357,1.41,0.009063466178035773,0.6427990197188492,✅ EXCELLENT
BAC,1.3432479257687924,1.35,0.0067520742312077164,0.5001536467561271,✅ EXCELLENT
UNH,0.4698389113924555,0.45,0.01983891139245547,4.408646976101216,✅ EXCELLENT
HD,1.0070266453704035,1.0,0.007026645370403539,0.7026645370403539,✅ EXCELLENT
NFLX,1.5907868628535116,1.59,0.000786862853511483,0.04948822978059641,✅ EXCELLENT
